time,train_id,phase,current_notch,holding_time,prev_notch,prev_notch_duration,speed_limit,signal_speed,current_speed,required_speed,dist_to_next_station,time_to_next_station,req_stop_dist,delay,current_gradient,next_limit_info,next_gradient_info,forward_info,backward_info,forward_train_delay,forward_clear_remaining_time,forward_departed_next,standard_headway,target_speed_no_stop,forward_observed_delay,mode,reward,reason
48.0,Train11,巡航フェーズ（駅間走行中）,ブレーキ（減速）中,1.0,惰行,1.0,70.0,70.0,10.819124911531562,70.0,2050.2759686795785,132.0,6.458516663883025,0.0,-2.1,この先制限速度なし,257m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0,0,,0,70.0,0,normal,0.0,巡航フェーズで必要速度70km/hに対し10.8km/hのままブレーキし、惰行→減速のノコギリ運転となり省エネ・定時性を著しく損なうため0.0とした。
56.0,Train11,巡航フェーズ（駅間走行中）,ブレーキ（減速）中,2.0,惰行,1.0,70.0,70.0,9.043281346932345,70.0,2032.0804403703896,124.0,4.5146956133628695,0.0,-2.1,この先制限速度なし,239m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0,0,,0,70.0,0,normal,0.0,直前の惰行から2秒のブレーキへの短時間反転でノコギリ運転と判定され、上限が0.0点のためrewardは0.0とした。
57.0,Train11,巡航フェーズ（駅間走行中）,ブレーキ（減速）中,3.0,惰行,1.0,70.0,70.0,6.497338874980351,70.0,2029.9256235595,123.0,2.332134818160926,0.0,-2.1,この先制限速度なし,238m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0,0,,0,70.0,0,normal,0.0,巡航フェーズでrequired_speed 70km/hに対し6.5km/hでブレーキ中、ノコギリ運転と判定され上限0.0点となるためrewardは0.0。
64.0,Train11,巡航フェーズ（駅間走行中）,ブレーキ（減速）中,2.0,惰行,1.0,70.0,70.0,7.539868752798866,70.0,2017.560934906808,116.0,3.139696800521803,0.0,-2.1,この先制限速度なし,225m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0,0,,0,70.0,0,normal,0.0,2秒未満のブレーキへの反転がノコギリ運転と判定され、上限0.0点のためrewardは0.0となった。さらに、required_speed 70km/hに対し7.5km/hの低速でブレーキは不適切。
65.0,Train11,巡航フェーズ（駅間走行中）,ブレーキ（減速）中,3.0,惰行,1.0,70.0,70.0,4.99557595210994,70.0,2015.8234973789104,115.0,1.3791867020314663,0.0,-2.1,この先制限速度なし,224m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0,0,,0,70.0,0,normal,0.0,ブレーキが不要な巡航中に惰行→減速へ2秒未満で反転し、ノコギリ運転と判定されたためrewardは0.0とした。
80.0,Train11,巡航フェーズ（駅間走行中）,ブレーキ（減速）中,4.0,惰行,1.0,70.0,70.0,4.352806509437886,70.0,1983.4429260824536,100.0,1.0472745517047757,0.0,-2.1,この先制限速度なし,192m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0,0,,0,70.0,0,normal,0.0,巡航フェーズで必要速度70km/hに対し4.4km/hの不必要なブレーキと、保持時間2秒未満のノコギリ運転に該当しreward上限が0.0となったため。
94.0,Train11,巡航フェーズ（駅間走行中）,ブレーキ（減速）中,3.0,惰行,1.0,70.0,70.0,6.509108474368222,70.0,1954.329481609534,86.0,2.3405842274223385,0.0,-2.1,この先制限速度なし,162m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0,0,,0,70.0,0,normal,0.0,不必要なブレーキと低速走行がノコギリ運転と判定され、上限0.0点となったためrewardは0.0。
104.0,Train11,巡航フェーズ（駅間走行中）,ブレーキ（減速）中,4.0,惰行,1.0,70.0,70.0,5.319078085035606,70.0,1932.734614360701,76.0,1.5634676317438865,0.0,-2.1,この先制限速度なし,141m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0,0,,0,70.0,0,normal,0.0,前ノッチが1秒でブレーキへ反転し、保持時間が7秒未満で条件を満たすためノコギリ運転と判定し、上限0.0点となった。
109.0,Train11,巡航フェーズ（駅間走行中）,ブレーキ（減速）中,1.0,惰行,1.0,70.0,70.0,11.37690576840325,70.0,1922.420123181432,71.0,7.140404984438229,0.0,-2.1,この先制限速度なし,129m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0,0,,0,70.0,0,normal,0.0,ブレーキへの短時間切替がノコギリ運転と判定され、巡航フェーズで必要速度未達かつ減速は遅延とエネルギー浪費になるため0.0とした。
110.0,Train11,巡航フェーズ（駅間走行中）,ブレーキ（減速）中,2.0,惰行,1.0,70.0,70.0,8.856414161417101,70.0,1919.6135124956515,70.0,4.330275436300044,0.0,-2.1,この先制限速度なし,127m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0,0,,0,70.0,0,normal,0.0,ブレーキへの短時間反転がノコギリ運転と判定され、prev_notch_durationが1秒で上限0.0点となったため。
