time,train_id,group_phase,group_notch,current_speed,signal_speed,speed_limit,dist_to_next_station,req_stop_dist,delta_stop,delay,f_exist,f_distance,rule_expected,rule_reason,llm_reward,nn_output,reason
167,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,40.0,70.0,70.0,108.3,78.30262950465575,29.997370495344242,15.0,0.0,2000.0,0.3〜0.5,ブレーキ中、15m<delta_stop<=30m（早すぎ）→ 0.3〜0.5,0.4,0.2,ブレーキが必要停止点より30m前に開始され、早すぎる減速で遅延とエネルギー損失が生じたため評価を下げた。
193,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,45.0,70.0,70.0,128.8,98.84980427029758,29.95019572970243,15.0,0.0,2000.0,0.3〜0.5,ブレーキ中、15m<delta_stop<=30m（早すぎ）→ 0.3〜0.5,0.4,0.2,早すぎるブレーキで停止位置が手前になり、遅延が増大するため評価を低くし、rewardを0.4とした。
194,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,45.0,70.0,70.0,128.8,98.84980427029758,29.95019572970243,0.0,0.0,2000.0,0.3〜0.5,ブレーキ中、15m<delta_stop<=30m（早すぎ）→ 0.3〜0.5,0.3,0.2,次駅減速フェーズでブレーキ開始が早すぎ、delta_stopが約30mと早過ぎる減速とエネルギー浪費が判定されたため。
195,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,45.0,70.0,70.0,128.8,98.84980427029758,29.95019572970243,15.0,0.0,2000.0,0.3〜0.5,ブレーキ中、15m<delta_stop<=30m（早すぎ）→ 0.3〜0.5,0.4,0.2,次駅減速フェーズでΔstopが約30mとやや早めのブレーキとなり評価が低くなるが、速度超過や信号違反はなく安全上の即時0点要因はなし。
208,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,15.0,70.0,70.0,13.7,10.704797732154702,2.995202267845297,0.0,0.0,2000.0,0.8〜1.0,ブレーキ中、|delta_stop|<=5m → 0.8〜1.0,0.9,0.7,次駅減速フェーズでブレーキが適切にかかり、delta_stopが3mで許容範囲内のため停止位置達成が可能と判断した。
219,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,15.0,70.0,70.0,25.7,10.704797732154702,14.995202267845297,15.0,0.0,2000.0,0.5〜0.7,ブレーキ中、5m<delta_stop<=15m → 0.5〜0.7,0.5,0.4,delta_stopが15mで早すぎるブレーキとなりエネルギー効率と定時性が低下するため0.5とした。
222,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,15.0,70.0,70.0,40.7,10.704797732154702,29.9952022678453,0.0,0.0,2000.0,0.3〜0.5,ブレーキ中、15m<delta_stop<=30m（早すぎ）→ 0.3〜0.5,0.4,0.2,ブレーキが停止位置より30 m早く開始され、必要以上に減速してエネルギーを浪費しているため、停止位置達成可能性が低く評価し0.4とした。
223,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,15.0,70.0,70.0,40.7,10.704797732154702,29.9952022678453,15.0,0.0,2000.0,0.3〜0.5,ブレーキ中、15m<delta_stop<=30m（早すぎ）→ 0.3〜0.5,0.4,0.2,delta_stopが30mでブレーキが早すぎ、停止位置が手前になるため減点し、エネルギー無駄と遅延が生じる。
251,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,20.0,70.0,70.0,49.0,19.00119379224565,29.99880620775435,15.0,0.0,2000.0,0.3〜0.5,ブレーキ中、15m<delta_stop<=30m（早すぎ）→ 0.3〜0.5,0.4,0.2,ブレーキ開始が30m早すぎ、駅手前での過剰減速により停止位置誤差が大きく遅延とエネルギー損失が生じたため、評価は0.4とした。
277,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,25.0,70.0,70.0,59.6,29.637836931781344,29.962163068218658,15.0,0.0,2000.0,0.3〜0.5,ブレーキ中、15m<delta_stop<=30m（早すぎ）→ 0.3〜0.5,0.3,0.2,delta_stopが約30mでブレーキ開始が早すぎ、停止位置が遅れ定時性を損なうため0.3とした。
278,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,25.0,70.0,70.0,59.6,29.637836931781344,29.962163068218658,0.0,0.0,2000.0,0.3〜0.5,ブレーキ中、15m<delta_stop<=30m（早すぎ）→ 0.3〜0.5,0.4,0.2,ブレーキ開始が必要停止距離より約30m早く、エネルギー無駄があるため評価を低減し、最終rewardを0.4とした。
279,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,25.0,70.0,70.0,59.6,29.637836931781344,29.962163068218658,15.0,0.0,2000.0,0.3〜0.5,ブレーキ中、15m<delta_stop<=30m（早すぎ）→ 0.3〜0.5,0.4,0.2,ブレーキ開始が早すぎてdelta_stopが約30mとなり停止位置が手前になるため減点し、遅延が増大する点が評価の主因です。
332,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,35.0,70.0,70.0,87.9,57.85731463635583,30.042685363644175,0.0,0.0,2000.0,0.1〜0.2,ブレーキ中、delta_stop>30m（大幅手前停止確実）→ 0.1〜0.2,0.1,0.3,ブレーキ開始が必要停止距離より30m以上早く、停止位置が大幅に手前になる上、不要な減速でエネルギー効率が低下したためrewardを0.1とした。
360,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,40.0,70.0,70.0,105.4,75.39694291800915,30.00305708199086,0.0,0.0,2000.0,0.1〜0.2,ブレーキ中、delta_stop>30m（大幅手前停止確実）→ 0.1〜0.2,0.2,0.3,次駅まで30m余裕があるのにブレーキを開始しており、停止位置が手前になるためエネルギー無駄と早すぎる減速と判断した。
394,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,20.0,70.0,70.0,29.7,19.739580102280605,9.960419897719394,0.0,0.0,2000.0,0.1〜0.3,先行列車なし・低速（<25km/h）の惰行/力行（ちんたら運転）→ 0.1〜0.3,0.2,0.6,次駅減速フェーズで低速20km/hの惰行を続けており、ブレーキ未実施で遅延を招くちんたら運転と判断し、0.1〜0.3の範囲で評価した。
396,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,20.0,70.0,70.0,59.7,19.739580102280605,39.9604198977194,0.0,0.0,2000.0,0.1〜0.3,先行列車なし・低速（<25km/h）の惰行/力行（ちんたら運転）→ 0.1〜0.3,0.2,0.4,次駅減速フェーズで低速(20km/h)の惰行を続けているため、遅延を増大させるちんたら運転とみなしエネルギー効率が低く0.2と評価した。
397,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,20.0,70.0,70.0,59.7,19.739580102280605,39.9604198977194,0.0,0.0,2000.0,0.1〜0.3,先行列車なし・低速（<25km/h）の惰行/力行（ちんたら運転）→ 0.1〜0.3,0.2,0.5,次駅減速フェーズでdelta_stopが正で制限・CBTCは遵守しているが、低速20km/hで惰行を続けたためちんたら運転とみなしエネルギー効率が低く0.2点とした。
416,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,20.0,70.0,70.0,29.0,19.00119379224565,9.998806207754349,0.0,0.0,2000.0,0.1〜0.3,先行列車なし・低速（<25km/h）の惰行/力行（ちんたら運転）→ 0.1〜0.3,0.2,0.5,次駅減速フェーズで必要なブレーキを行わず低速惰行を続けたため、停止位置達成に遅延リスクがあり、ちんたら運転と判断した。
417,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,20.0,70.0,70.0,29.0,19.00119379224565,9.998806207754349,0.0,0.0,2000.0,0.1〜0.3,先行列車なし・低速（<25km/h）の惰行/力行（ちんたら運転）→ 0.1〜0.3,0.2,0.5,次駅減速フェーズで先行列車なしにも関わらず低速惰行を続けたため遅延リスクが高く、定時性が低下すると判断した。
418,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,20.0,70.0,70.0,59.0,19.00119379224565,39.99880620775435,0.0,0.0,2000.0,0.1〜0.3,先行列車なし・低速（<25km/h）の惰行/力行（ちんたら運転）→ 0.1〜0.3,0.2,0.4,低速20km/hで惰行を続け、減速フェーズでブレーキせずに遅延を増大させるちんたら運転と判断し0.2とした。
419,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,20.0,70.0,70.0,59.0,19.00119379224565,39.99880620775435,0.0,0.0,2000.0,0.1〜0.3,先行列車なし・低速（<25km/h）の惰行/力行（ちんたら運転）→ 0.1〜0.3,0.2,0.4,次駅減速フェーズでブレーキせず惰行を続け、低速で遅延を増大させるちんたら運転と判断し0.2とした。
177.89999999999995,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,28.62,28.1,70.0,87.0,38.78916057572829,48.21083942427171,0.0,1.0,87.4,0.8〜1.0,先行列車接近中、信号速度に整合してブレーキ中 → 高評価,0.8,0.6,先行列車が停車しているためCBTC遵守でブレーキ中、速度は上限を僅かに超えているが減速操作で機外停車回避に適切である。
126.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,43.96499265765703,70.0,70.0,350.4805993761728,94.40611113772788,256.0744882384449,0.0,0.0,2000.0,0.1〜0.2,ブレーキ中、delta_stop>30m（大幅手前停止確実）→ 0.1〜0.2,0.2,0.0,次駅減速フェーズで必要以上にブレーキをかけ、停止位置達成が遅れエネルギー損失を招くため低評価とした。
127.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,42.72609506643983,70.0,70.0,338.44196826199993,89.21743813763555,249.22453012436438,0.0,0.0,2000.0,0.1〜0.2,ブレーキ中、delta_stop>30m（大幅手前停止確実）→ 0.1〜0.2,0.2,0.0,減速フェーズでdelta_stopが正のままブレーキをかけており、駅手前で停止してしまうため停止位置達成が不適切と判断した。
143.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,25.884571818014308,70.0,70.0,190.67758066474028,31.76192210057953,158.91565856416074,0.0,0.0,2000.0,0.1〜0.2,ブレーキ中、delta_stop>30m（大幅手前停止確実）→ 0.1〜0.2,0.1,0.0,惰行から減速への短時間切替がノコギリ運転と判定され、減速開始が停止距離から遠くエネルギー無駄となるため低評価とした。
125.0,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,40.98612558279815,70.0,70.0,350.5610653129949,82.17094674753096,268.3901185654639,0.0,0.0,2000.0,0.8〜1.0,ブレーキなし、delta_stop>=0m → 高評価,1.0,0.0,全ての上位評価項目で問題がなく、減速フェーズで必要速度を維持しつつエネルギー効率的に惰行しているため最高点とした。
128.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,38.16070030963112,70.0,70.0,317.3487324028628,71.3305958636497,246.01813653921312,0.0,0.0,2000.0,0.1〜0.2,ブレーキ中、delta_stop>30m（大幅手前停止確実）→ 0.1〜0.2,0.1,0.0,次駅減速フェーズでdelta_stopが大きいのに早期ブレーキに切り替え、ノコギリ運転とエネルギー無駄が判定され上限0.3点以下に抑え0.1点とした。
129.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,36.93664276410138,70.0,70.0,306.9203148820527,66.8666369720442,240.0536779100085,0.0,0.0,2000.0,0.1〜0.2,ブレーキ中、delta_stop>30m（大幅手前停止確実）→ 0.1〜0.2,0.2,0.0,ノコギリ運転（惰行→減速、保持時間2秒）とブレーキ開始が早すぎるためエネルギー無駄と評価し、上限0.3点を下回る0.2点とした。
141.0,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,27.58167900708348,70.0,70.0,199.9486777737048,37.43682853040919,162.51184924329561,0.0,0.0,2000.0,0.8〜1.0,ブレーキなし、delta_stop>=0m → 高評価,1.0,0.0,制限速度・CBTC信号遵守、停止位置達成可能、減速フェーズでの惰行は適切であり、ノコギリ運転も認められないため最高評価とした。
142.0,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,27.24404747305723,70.0,70.0,192.3344780212801,35.167825951719095,157.166652069561,0.0,0.0,2000.0,0.8〜1.0,ブレーキなし、delta_stop>=0m → 高評価,1.0,0.0,制限速度・信号遵守、減速フェーズでの惰行は適切であり、ノコギリ運転や不要な加速がなく、全項目で問題なしと判断した。
235.7999999999956,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,0.697136302519801,70.0,70.0,0.9737560411657852,0.0232017542582319,0.9505542869075533,0.0,0.0,2000.0,0.8〜1.0,ブレーキ中、|delta_stop|<=5m → 0.8〜1.0,1.0,0.0,ブレーキが適切に掛かり、delta_stopが0.95mで許容範囲内のため、減速フェーズの操作は安全かつ定時に問題なく評価した。
132.0,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,39.6289173964378,70.0,70.0,315.8220028935723,76.87049644729326,238.95150644627904,0.0,0.0,2000.0,0.8〜1.0,ブレーキなし、delta_stop>=0m → 高評価,1.0,0.0,次駅減速フェーズでrequired_speedを維持し、適切に惰行しているため上位項目に問題なくrewardは1.0とした。
133.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,40.6042589416444,70.0,70.0,319.6621136350081,80.66221061413871,238.9999030208694,0.0,0.0,2000.0,0.1〜0.2,ブレーキ中、delta_stop>30m（大幅手前停止確実）→ 0.1〜0.2,0.2,0.0,減速フェーズでまだ距離が十分あるのにブレーキをかけたため、定時性と省エネ性が著しく低下し不適切と判断した。
172.79999999999956,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,10.007793879945222,70.0,70.0,74.55329070408823,4.771631843692937,69.78165886039528,0.0,0.0,2000.0,0.1〜0.3,先行列車なし・低速（<25km/h）の惰行/力行（ちんたら運転）→ 0.1〜0.3,0.1,0.0,次駅減速フェーズで必要速度70km/hに対し10km/hの惰行を続けており、加速が必要なためフェーズ評価がNGとなり、定時性も損なうためrewardは0.1とした。
176.6999999999993,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,8.377535625140576,70.0,70.0,64.59751927859259,3.3450261981161287,61.252493080476455,0.0,0.0,2000.0,0.1〜0.3,先行列車なし・低速（<25km/h）の惰行/力行（ちんたら運転）→ 0.1〜0.3,0.1,0.0,次駅減速フェーズで必要速度70km/hに対し8.4km/hの惰行を続け、加速が必要なのに惰行のままで定時性とエネルギー効率が大きく欠如しているため低評価とした。
138.0,T1,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,67.24,70.0,70.0,398.7,219.8,178.89999999999998,0.0,0.0,2000.0,0.8〜1.0,ブレーキなし、delta_stop>=0m → 高評価,1.0,0.5,次駅減速フェーズでdelta_stopが正であり、加速はCBTC上限内で安全かつ停止位置は確保できるため、現在の力行は適切と判断した。
520.0,T1,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,67.24,70.0,70.0,398.7,219.8,178.89999999999998,0.0,0.0,2000.0,0.8〜1.0,ブレーキなし、delta_stop>=0m → 高評価,1.0,0.5,減速フェーズでdelta_stopが正で加速はCBTC内かつ安全で、速度・信号遵守、ノコギリ運転なし、エネルギー面でも過剰加速ではないため最高評価とした。
907.0,T1,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,67.24,70.0,70.0,398.7,219.8,178.89999999999998,0.0,0.0,2000.0,0.8〜1.0,ブレーキなし、delta_stop>=0m → 高評価,1.0,0.6,加速は残り距離と残り時間から定時到着に必須で、速度・CBTC制限を守っているため高評価とした。
1086.0,T1,次駅への減速フェーズ（駅手前400m以内）,惰行中,58.7,80.0,80.0,380.8,182.27,198.53,0.0,0.0,2000.0,0.8〜1.0,ブレーキなし、delta_stop>=0m → 高評価,0.9,0.7,速度は制限・信号内で停止位置も十分確保でき、減速フェーズとして惰行は適切であり、ノコギリ運転や安全違反はなく定時性に余裕があるため高評価とした。
1088.0,T1,次駅への減速フェーズ（駅手前400m以内）,惰行中,58.29,80.0,80.0,348.3,179.82,168.48000000000002,0.0,0.0,2000.0,0.8〜1.0,ブレーキなし、delta_stop>=0m → 高評価,1.0,0.7,制限速度・CBTC遵守、停止位置に余裕があり減速フェーズでブレーキ未実施は許容範囲、ノコギリ運転もなく全体的に適切な運転と判断した。
1089.0,T1,次駅への減速フェーズ（駅手前400m以内）,惰行中,58.09,80.0,80.0,332.1,178.6,153.50000000000003,0.0,0.0,2000.0,0.8〜1.0,ブレーキなし、delta_stop>=0m → 高評価,0.9,0.7,減速フェーズで十分な停止距離があり、速度制限・CBTCを遵守し、ノコギリ運転もなく、エネルギー効率的に惰行しているため高評価とした。
1092.0,T1,次駅への減速フェーズ（駅手前400m以内）,惰行中,57.49,80.0,80.0,283.9,175.01,108.88999999999999,0.0,0.0,2000.0,0.8〜1.0,ブレーキなし、delta_stop>=0m → 高評価,0.9,0.7,減速フェーズでdelta_stopが正でブレーキ未実施は適切で、速度も制限内かつ先行列車なしのため安全・定時性に問題なく高評価とした。
1094.0,T1,次駅への減速フェーズ（駅手前400m以内）,惰行中,57.09,80.0,80.0,252.1,172.65,79.44999999999999,0.0,0.0,2000.0,0.8〜1.0,ブレーキなし、delta_stop>=0m → 高評価,1.0,0.7,減速フェーズでdelta_stopが正で安全に停止可能、速度・CBTC遵守、ノコギリ運転なしのため最高評価とした。
1095.0,T1,次駅への減速フェーズ（駅手前400m以内）,惰行中,56.89,80.0,80.0,236.3,171.48,64.82000000000002,0.0,0.0,2000.0,0.8〜1.0,ブレーキなし、delta_stop>=0m → 高評価,0.9,0.7,次駅減速フェーズで速度は制限内かつCBTC遵守、ブレーキ開始が遅すぎずノコギリ運転もなく、エネルギー無駄もないため高評価。
1096.0,T1,次駅への減速フェーズ（駅手前400m以内）,惰行中,56.7,80.0,80.0,220.5,170.32,50.18000000000001,0.0,0.0,2000.0,0.8〜1.0,ブレーキなし、delta_stop>=0m → 高評価,0.9,0.7,次駅減速フェーズでdelta_stopが正でブレーキ未実施は許容され、速度も制限内で安全・定時に問題なく、ノコギリ運転でもないため高評価とした。
